MFCCs1-deviation,MFCCs1-median,MFCCs10-deviation,MFCCs10-median,MFCCs11-deviation,MFCCs11-median,MFCCs12-deviation,MFCCs12-median,MFCCs13-deviation,MFCCs13-median,MFCCs2-deviation,MFCCs2-median,MFCCs3-deviation,MFCCs3-median,MFCCs4-deviation,MFCCs4-median,MFCCs5-deviation,MFCCs5-median,MFCCs6-deviation,MFCCs6-median,MFCCs7-deviation,MFCCs7-median,MFCCs8-deviation,MFCCs8-median,MFCCs9-deviation,MFCCs9-median,category,short-term-energy-deviation,short-term-energy-median,short-term-entropy-deviation,short-term-entropy-median,spectral-centroid1-deviation,spectral-centroid1-median,spectral-centroid2-deviation,spectral-centroid2-median,spectral-entropy-deviation,spectral-entropy-median,spectral-flux-deviation,spectral-flux-median,spectral-rolloff-deviation,spectral-rolloff-median,zero-crossing-deviation,zero-crossing-median
0.07771312,0.271746296,0.033249022,0.155705986,0.059562327,2.432404022,0.032252147,0.104897587,0.049654991,0.57173496,0.1193859,0.00333724,0.057528434,0.370100047,0.061749132,0.063600791,0.059277711,0.000314915,0.069422426,8.38E-05,0.052228983,0.020954282,-0.018257357,0.003719158,0.050430116,-33.96236918,2,0.424316631,0.005624093,0.057095876,3.22E-06,0.244125692,5.04E-07,0.069458167,3.204823692,0.200124972,0.059713293,0.061400202,0.247299032,0.11905727,0.00595642,0.078706567,0.068305515
0.065225977,0.194547779,0.008395482,0.170884998,0.032307534,1.144038146,-0.083037452,0.035651711,0.037379471,-0.630322229,0.038858271,0.001396931,0.031723084,1.502901635,-0.045148203,0.163182196,0.041928154,0.000143223,0.011087353,6.52E-05,0.024219144,0.328918723,-0.011275712,0.035195936,0.037085287,-18.42667363,1,-0.399355929,0.01347061,0.066600024,0.063504674,-0.298435008,0.008848224,0.041040434,2.561634153,-0.005215499,0.080737044,0.039169827,0.22441451,0.030804492,0.007614307,0.088091677,0.122505443
0.089770367,0.26901236,-0.110590525,1.057548086,0.062033478,-0.313875917,0.139622159,0.192088874,0.065782322,-0.234093699,0.099380418,0.003668687,0.055836151,3.092076804,-0.127000223,0.091965738,0.055458533,0.000293735,-0.118664329,7.34E-05,0.072984318,0.794267054,0.052564157,0.005442671,0.076023809,-19.5273842,0,-0.086698951,0.019419238,0.077781267,0.04546487,-0.004174522,0.023738935,0.124804834,3.158969874,0.424610241,0.037729991,0.091861467,0.469202662,0.200183544,0.00478003,0.091968876,0.434664247
0.003934954,0.086331498,1.46E-15,0.556780786,0.005800951,9.37E-15,2.19E-15,0.031285173,3.88E-05,3.89E-15,2.36E-15,0.086331491,0.021253015,0.032950806,3.61E-17,7.52E-05,0.004721566,1.27E-06,1.45E-15,1.27E-06,0.004323227,0,2.43E-15,0,0.001496605,-50.03966178,0,4.39E-15,0,0.000587471,1.06E-07,3.61E-15,1.97E-11,0.008972472,3.321058841,4.32E-15,6.10E-07,0.00718107,0.029883673,3.24E-15,0.02970225,0.004555894,0
0.057181871,0.185444593,-1.75E-14,4.785027318,0.035300796,7.23E-14,-3.70E-14,0.189126415,0.090568256,2.94E-14,9.65E-15,0.049646657,0.061908475,2.016405341,1.17E-15,0.459387163,0.061693622,9.36E-05,-1.86E-14,8.71E-05,0.073428323,0.367743106,-1.04E-14,0.097877358,0.068828173,-21.30969221,0,3.18E-14,0.080914369,0.061774575,0.025413956,2.45E-14,0.025410635,0.097428002,3.256161034,6.42E-15,0.064913995,0.075083335,0.265453937,-2.46E-15,0.051569907,0.137843755,0.163234761
0.08257369,0.19193158,-0.009686071,4.584708585,0.069468642,-0.016340219,-0.106894152,0.646036996,0.134750428,-0.104610017,0.133707915,0.015515987,0.090413368,2.306964844,0.025398235,0.18276914,0.094557937,0.000107709,-0.015718959,3.87E-05,0.112296469,0.435050798,0.051706342,0.032021045,0.08936256,-21.33450729,0,-0.076970917,0.032293179,0.151542747,0.044614089,0.047119047,0.044607595,0.087551284,2.95351883,-0.001999876,0.346999547,0.091369309,0.291014377,0.058548556,0.02434355,0.180566073,0.22913643
0.143674229,0.182500367,-0.022274138,2.795297366,0.088946326,-0.686262977,0.048412735,0.187394737,0.070800019,0.280651674,0.040210592,0.026721002,0.109501166,1.974228053,0.079396249,0.236225515,0.111303964,0.00018556,0.054096681,8.98E-05,0.095774445,0.391872279,0.084812242,0.038189405,0.107356373,-21.23354538,0,-0.054389636,0.021090348,0.232172746,0.076640727,0.058584105,0.075386037,0.149580477,2.875432819,0.014102062,0.339268131,0.134157065,0.281622991,-0.014766297,0.021977933,0.296194589,0.223512337
0.063205251,0.148138533,0.05534005,0.446489251,0.084818324,1.624654421,-0.037723462,0.115027728,0.051291079,0.409737052,-0.023450374,0.00327321,0.03948185,0.450454563,-0.096951166,0.070981932,0.061436863,0.000289781,-0.157725892,9.16E-05,0.062958526,0.082637881,-0.063025188,0.010976052,0.068507001,-19.24702132,1,0.702098648,0.004716981,0.171795326,0.047190083,-0.010544766,0.02637619,0.153144152,2.528914427,0.313469522,0.196796758,0.072806521,0.125199037,0.015561244,0.004362631,0.159089164,0.073339985
0.130605124,0.138999502,0.08839699,1.260286163,0.067540104,1.125882297,-0.062990275,0.621638364,0.069905305,0.284870986,-0.009174072,0.010583218,0.01771552,0.794177892,-0.146245746,0.199855299,0.116645982,0.000259068,-0.12603636,7.10E-05,0.092015094,0.122187954,-0.136394869,0.022949927,0.105836114,-20.31792515,1,0.578056121,0.005215893,0.219197445,0.015237606,0.055368117,0.010953623,0.1053829,2.524354542,0.218735082,0.624496619,0.076254526,0.120048677,-0.029966243,0.007063829,0.153472636,0.078646589
0.071794755,0.148761461,0.062797241,0.926383928,0.040529814,1.261833725,0.003367864,0.195642009,0.037227284,-0.205949018,0.104793264,0.011671822,0.03928168,0.751407033,-0.098419104,0.109180678,0.053185851,0.000288501,-0.074694833,0.000123176,0.082930978,0.122460087,-0.009353363,0.014513788,0.080367753,-19.96726965,1,0.292988146,0.006894049,0.175142908,0.01803123,0.15303147,0.013270775,0.10078564,2.401629305,0.223561969,0.665120662,0.10774014,0.128909115,0.094418213,0.017088863,0.288469149,0.072251451
0.185577732,0.15124699,0.035004004,0.43889945,0.039404356,1.766123104,0.003002111,0.219453873,0.070869036,-0.078227642,-0.026426446,0.004393052,0.08369216,0.417978253,-0.0688957,0.137551283,0.083745498,0.000296158,-0.064515471,0.000119094,0.119811624,0.067579826,-0.076792035,0.020228592,0.084823797,-19.49476531,1,0.454994736,0.007483672,0.25651906,0.039842737,0.353258745,0.014495003,0.298526362,2.200333703,0.40721051,0.353590033,0.09068311,0.124731421,0.164366595,0.008824497,0.227871895,0.079190856
0.145914065,0.20513845,0.600788254,0.86018651,0.054841758,1.227075982,0.390171325,0.248799863,0.074350509,-0.724768561,-0.211509604,0.031639014,0.135631658,0.223209034,0.323009957,0.125212048,0.106320505,0.000669487,-0.622267408,0.000641837,0.086253219,0.066037736,-0.197893717,0.008798984,0.066789771,-23.96679153,2,1.376796064,0.009570029,0.212471229,0.003919065,-0.189200338,0.003196632,0.064189466,1.480913552,-0.488620582,0.319930082,0.115413517,0.165110468,-0.826500723,0.038925953,0.174299166,0.061230044
